"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialRoundedSlider.M_AudioMaterialRoundedSlider","49","27","29","1","27.087267","0","29"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialEnvelope_ADSR.M_AudioMaterialEnvelope_ADSR","49","27","29","1","28.915709","0","29"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialKnob.M_AudioMaterialKnob","49","15","15","1","12.869070","0","15"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialToggleButton.M_AudioMaterialToggleButton","49","15","15","1","11.621660","0","15"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","49","7","7","1","6.836177","0","7"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","49","75","80","6","90.065674","0","80"
"/HairStrands/Materials/HairDebugMaterial.HairDebugMaterial","49","72","78","1","94.535889","0","78"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","49","92","92","1","0.000000","0","92"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","49","9","9","1","8.794426","0","9"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","49","40","40","1","51.599125","0","40"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","49","7","7","1","6.378761","0","7"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","49","7","7","1","6.150407","0","7"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","49","67","67","1","45.499786","0","67"
"/Game/LowPoly_Castle/Castle_Materials/M_MainWindow.M_MainWindow","49","8","8","1","4.348013","0","8"
"/Game/Cursor/M_Cursor.M_Cursor","49","39","43","1","28.703608","0","43"
"/Game/LowPoly_Castle/Castle_Materials/M_CastleOuterPillar.M_CastleOuterPillar","49","8","8","1","4.331517","0","8"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","49","45","45","1","62.926159","0","45"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","49","993","1016","1","1647.546875","0","0"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","49","21","23","1","12.252031","0","23"
"/Engine/VREditor/SnapGrid/SnapGridMaterial.SnapGridMaterial","49","18","18","1","28.072220","0","18"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialMeter.M_AudioMaterialMeter","49","15","15","1","11.186846","0","15"
"/Game/TopDown/Props/MM_PBR.MM_PBR","49","37","41","1","0.000000","0","41"
"/Game/RadicalMike/Materials/Lens/M_Glass_parent.M_Glass_parent","49","29","29","1","30.388968","0","29"
"/InterchangeAssets/gltf/M_ClearCoat.M_ClearCoat","49","164","182","6","234.033783","0","182"
"/InterchangeAssets/gltf/M_Unlit.M_Unlit","49","202","212","6","516.381653","0","212"
"/Game/Characters/Mannequins/Materials/M_Mannequin.M_Mannequin","49","26","30","2","23.973652","6","30"
"/Game/RadicalMike/Materials/Body/M_MasterMaterial.M_MasterMaterial","49","37","41","1","30.811670","0","41"
"/InterchangeAssets/gltf/M_Sheen.M_Sheen","49","156","166","6","210.464096","0","166"
"/Game/LowPoly_Castle/Castle_Materials/M_MainEntrance_Gate.M_MainEntrance_Gate","49","8","8","1","0.000000","0","8"
"/Game/LowPoly_Castle/Castle_Materials/M_Castle_Tower.M_Castle_Tower","49","8","8","1","0.000000","0","8"
"/Game/LowPoly_Castle/Castle_Materials/M_MainDoorCastle.M_MainDoorCastle","49","8","8","1","0.000000","0","8"
"/InterchangeAssets/gltf/M_Transmission.M_Transmission","49","54","54","2","192.941895","0","54"
"/InterchangeAssets/gltf/M_SpecularGlossiness.M_SpecularGlossiness","49","156","166","6","215.764069","0","166"
"/InterchangeAssets/gltf/M_Default.M_Default","49","164","182","6","234.703094","0","182"
"/Game/LowPoly_Castle/Castle_Materials/M_CastleRoofTop.M_CastleRoofTop","49","8","8","1","0.000000","0","8"
"/Game/LowPoly_Castle/Castle_Materials/M_Castle_Tower_RooF.M_Castle_Tower_RooF","49","8","8","1","0.000000","0","8"
"/Game/LowPoly_Castle/Castle_Materials/M_SpeechPathway.M_SpeechPathway","49","8","8","1","0.000000","0","8"
"/Game/LowPoly_Castle/Castle_Materials/M_FrontBuilding.M_FrontBuilding","49","8","8","1","0.000000","0","8"
"/Game/LowPoly_Castle/Castle_Materials/M_MainCastle.M_MainCastle","49","8","8","1","0.000000","0","8"
"/Game/LowPoly_Castle/Castle_Materials/M_Stone.M_Stone","49","16","16","1","16.032845","0","16"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","49","42","46","1","67.001961","0","46"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","49","42","46","1","70.573685","0","46"
"/Game/EvergreenKit/Materials/Foliage/Base/M_Foliage_Evergreen.M_Foliage_Evergreen","49","252","260","2","330.250854","0","260"
"/Game/LowPoly_Castle/Castle_Materials/M_CastleOuterTower.M_CastleOuterTower","49","8","8","1","0.000000","0","8"
"/Game/LevelPrototyping/Materials/M_PrototypeGrid.M_PrototypeGrid","49","16","16","2","9.987552","0","16"
"/Game/EvergreenKit/Materials/Trimsheets/M_Trimsheet_Base_Evergreen.M_Trimsheet_Base_Evergreen","49","32","32","2","29.559078","0","32"
"/Engine/EngineSky/M_SimpleSkyDome.M_SimpleSkyDome","49","7","7","1","3.592767","0","7"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","49","7","7","1","3.664433","0","7"
